AAA028I14.genome.CDS.1348,group04637
AAA028I14.genome.CDS.1224,group01026
AAA028I14.genome.CDS.1225,group01052
AAA028I14.genome.CDS.1158,group00564
AAA028I14.genome.CDS.927,group00812
AAA028I14.genome.CDS.1369,group00090
AAA028I14.genome.CDS.1613,group01266
AAA028I14.genome.CDS.1612,group02614
AAA028I14.genome.CDS.1611,group04670
AAA028I14.genome.CDS.1610,group02260
AAA028I14.genome.CDS.1615,group04669
AAA028I14.genome.CDS.1614,group01266
AAA028I14.genome.CDS.805,group01345
AAA028I14.genome.CDS.288,group00321
AAA028I14.genome.CDS.121,group01072
AAA028I14.genome.CDS.1421,group00520
AAA028I14.genome.CDS.808,group01638
AAA028I14.genome.CDS.1589,group00466
AAA028I14.genome.CDS.1362,group01444
AAA028I14.genome.CDS.1118,group00737
AAA028I14.genome.CDS.1423,group00517
AAA028I14.genome.CDS.1360,group01539
AAA028I14.genome.CDS.1048,group02560
AAA028I14.genome.CDS.1046,group04617
AAA028I14.genome.CDS.1047,group02561
AAA028I14.genome.CDS.1044,group02305
AAA028I14.genome.CDS.1045,group02304
AAA028I14.genome.CDS.1042,group02302
AAA028I14.genome.CDS.1043,group02301
AAA028I14.genome.CDS.1040,group02559
AAA028I14.genome.CDS.929,group01346
AAA028I14.genome.CDS.1305,group01034
AAA028I14.genome.CDS.1306,group00170
AAA028I14.genome.CDS.1240,group01090
AAA028I14.genome.CDS.1460,group02569
AAA028I14.genome.CDS.1461,group02568
AAA028I14.genome.CDS.1462,group02567
AAA028I14.genome.CDS.1463,group02255
AAA028I14.genome.CDS.1464,group01766
AAA028I14.genome.CDS.1465,group02566
AAA028I14.genome.CDS.1467,group02577
AAA028I14.genome.CDS.1468,group00174
AAA028I14.genome.CDS.1469,group01017
AAA028I14.genome.CDS.1390,group00271
AAA028I14.genome.CDS.1111,group00386
AAA028I14.genome.CDS.952,group01334
AAA028I14.genome.CDS.953,group00204
AAA028I14.genome.CDS.950,group00670
AAA028I14.genome.CDS.951,group01463
AAA028I14.genome.CDS.956,group02031
AAA028I14.genome.CDS.957,group02177
AAA028I14.genome.CDS.954,group02372
AAA028I14.genome.CDS.955,group01037
AAA028I14.genome.CDS.1543,group00795
AAA028I14.genome.CDS.1396,group00074
AAA028I14.genome.CDS.1541,group01947
AAA028I14.genome.CDS.1540,group01710
AAA028I14.genome.CDS.1547,group00429
AAA028I14.genome.CDS.1546,group00260
