contig	BIN_10	MEint3864	MEint885
group00584	1	1	1
group00585	1	0	0
group00586	1	1	0
group00587	0	0	1
group00588	1	0	1
group00589	1	1	1
group00590	1	0	0
group00591	1	1	1
group00592	1	1	1
group00593	1	0	1
group00594	1	0	1
group00595	1	1	1
group00596	1	1	0
group00597	1	0	0
group00598	1	1	0
group00599	1	1	1
group00600	1	0	0
group00601	1	1	1
group00605	1	0	0
group00607	1	1	1
group00608	0	0	1
group00609	1	0	1
group00610	1	0	0
group00611	1	1	0
group00612	1	1	1
group00613	1	1	0
group00614	1	1	0
group00616	1	1	1
group00617	1	1	1
group00618	1	0	0
group00620	1	0	1
group00621	1	1	1
group00624	1	0	0
group00625	1	0	0
group00627	1	1	1
group00628	1	0	1
group00630	1	1	1
group00631	1	1	1
group00632	1	1	1
group00633	1	0	1
group00634	1	0	0
group00636	1	1	1
group00637	1	0	0
group00638	1	0	0
group00639	0	1	1
group00640	1	1	1
group00641	1	1	0
group00642	1	1	1
group00643	1	0	0
group00644	1	0	0
group00645	1	1	1
group00646	1	0	1
group00648	1	1	1
group00649	1	1	1
group00650	1	1	1
group00651	1	1	1
group00653	1	1	1
group00654	0	1	1
group00655	1	1	0
group00657	1	1	1
group00658	1	0	1
group00659	1	1	1
group00660	1	0	0
group00661	0	1	1
group00662	1	0	0
group00663	0	1	0
group00664	1	0	1
group00665	1	1	1
group00666	1	1	0
group00668	0	1	0
group00669	1	0	0
group00671	0	1	0
group00673	1	0	1
group00674	0	0	1
group00675	1	1	1
group00676	1	0	1
group00677	1	1	1
group00678	1	0	1
group00682	0	1	0
group00683	1	1	1
group00684	1	0	1
group00685	1	0	1
group00687	1	1	1
group00688	1	1	0
group00689	1	1	0
group00690	1	1	0
group00691	1	1	0
group00692	1	0	1
group00693	1	0	0
group00694	1	1	1
group00695	1	1	0
group00696	1	0	0
group00699	0	0	1
group00700	1	1	1
group00701	1	0	1
group00702	1	1	1
group00703	1	1	1
group00704	1	1	0
group00705	1	0	0
group00708	1	1	1
group00709	1	1	0
group00711	1	0	1
group00713	0	1	1
group00714	1	1	1
group00715	1	1	0
group00717	1	1	1
group00718	1	1	1
group00719	1	1	1
group00720	1	1	1
group00721	1	1	0
group00722	1	1	1
group00723	1	0	0
group00725	1	1	1
group00726	1	1	1
group00727	1	1	1
group00728	1	1	1
group00729	1	0	0
group00730	1	0	0
group00734	1	1	0
group00735	1	1	1
group00736	1	0	1
group00737	1	0	1
group00738	0	1	0
group00741	1	0	1
group00744	1	1	1
group00745	1	0	1
group00746	1	0	1
group00747	1	1	1
group00748	1	1	1
group00749	0	1	0
group00750	1	1	1
group00753	1	0	0
group00755	1	1	0
group00756	1	1	0
group00757	0	1	0
group00758	1	0	1
group00760	1	0	1
group00761	1	1	1
group00763	1	0	0
group00764	1	1	0
group00765	1	1	1
group00766	1	1	1
group00768	1	1	1
group00769	1	1	1
group00770	1	1	1
group00771	1	0	0
group00772	1	1	1
group00773	1	1	0
group00774	1	1	0
group00779	1	1	1
group00780	1	0	1
group00781	1	1	1
group00783	1	1	1
group00784	1	0	0
group00785	0	1	0
group00786	1	1	0
group00788	1	1	1
group00789	1	1	1
group00792	1	0	0
group00793	1	1	1
group00794	1	0	0
group00795	1	1	1
group00796	1	1	0
group00797	1	1	1
group00798	0	0	1
group00799	1	1	1
group00800	1	0	0
group00801	1	0	0
group00802	1	1	0
group00803	1	1	1
group00804	1	0	1
group00805	1	0	0
group00806	1	0	1
group00809	1	1	1
group00810	1	0	0
group00811	1	1	0
group00813	0	1	1
group00814	1	1	1
group00816	1	1	0
group00817	0	1	0
group00819	1	0	0
group00820	1	0	0
group00821	0	1	0
group00822	1	0	0
group00823	1	1	1
group00824	1	0	0
group00825	1	0	0
group00826	1	1	0
group00827	1	1	1
group00828	1	0	1
group00830	1	0	0
group00831	1	1	1
group00832	1	1	1
group00833	1	1	0
group00834	1	1	0
group00835	1	0	1
group00837	1	1	1
group00838	0	1	1
group00839	1	0	1
group00840	1	1	1
group00842	0	1	0
group00844	1	0	0
group00846	1	1	1
group00849	1	1	0
group00850	1	0	1
group00851	1	1	1
group00852	1	0	1
group00854	0	0	1
group00855	1	1	1
group00856	1	1	1
group00857	1	1	1
group00858	1	1	0
group00860	0	1	0
group00862	1	1	1
group00863	1	0	0
group00864	1	1	1
group00865	1	0	0
group00866	1	0	0
group00867	1	1	1
group00869	1	0	1
group00870	1	1	1
group00871	1	0	1
group00875	1	1	1
group00876	1	1	1
group00877	1	1	1
group00878	1	1	1
group00879	1	1	0
group00880	1	1	1
group00882	1	1	1
group00883	1	1	1
group00884	0	1	0
group00886	0	1	0
group00887	1	1	0
group00888	1	1	1
group00889	1	0	1
group00890	1	1	1
group00891	1	1	1
group00892	1	1	1
group00893	1	0	1
group00894	1	0	0
group00895	1	0	0
group00896	1	0	0
group00898	1	1	0
group00902	1	0	1
group00903	1	1	1
group00904	1	1	1
group00905	1	1	1
group00906	0	1	1
group00908	1	1	0
group00910	1	1	1
group00911	1	1	1
group00912	1	0	0
group00913	1	1	1
group00915	1	1	1
group00916	1	0	0
group00917	1	0	0
group00922	0	0	1
group00923	1	1	1
group00924	1	1	1
group00925	0	1	0
group00929	1	1	1
group00930	1	1	1
group00931	1	1	1
group00933	1	0	1
group00935	0	0	1
group00936	1	1	1
group00937	1	1	0
group00938	1	1	0
group00939	1	0	1
group00940	1	1	1
group00942	1	1	1
group00944	1	1	0
group00945	1	1	0
group00947	1	1	0
group00948	1	0	1
group00949	1	0	0
group00950	1	0	1
group00951	1	0	1
group00952	1	0	1
group00954	1	1	1
group00955	0	1	0
group00956	1	1	0
group00960	1	0	0
group00961	1	1	1
group00962	1	0	0
group00964	0	1	0
group00965	1	0	1
group00969	1	1	0
group00970	0	1	1
group00972	1	1	1
group00973	1	0	1
group00975	1	1	0
group00976	1	1	0
group00978	1	1	1
group00979	1	0	0
group00981	1	1	1
group00983	1	1	1
group00984	0	1	0
group00985	1	1	1
group00986	1	0	0
group00989	1	1	1
group00995	1	1	1
group00996	1	1	1
group00997	1	1	1
group00998	1	1	1
group00999	1	1	1
group01000	1	0	1
group01003	1	0	1
group01004	1	1	1
group01006	1	0	0
group01007	1	1	1
group01008	1	0	1
group01009	1	0	0
group01010	0	1	0
group01012	0	1	0
group01016	1	1	1
group01017	1	0	1
group01018	0	1	1
group01020	1	0	1
group01021	1	1	1
group01022	1	1	1
group01023	1	0	0
group01024	1	1	1
group01025	1	0	1
group01026	1	1	0
group01028	1	1	1
group01029	1	1	1
group01030	1	1	0
group01032	0	0	1
group01034	1	1	1
group01036	1	1	1
group01037	0	0	1
group01038	1	1	0
group01039	1	1	1
group01042	1	0	1
group01045	1	1	1
group01046	1	1	1
group01047	1	0	0
group01048	1	0	0
group01049	1	0	0
group01052	1	0	0
group01055	0	1	1
group01056	0	1	0
group01058	1	0	0
group01059	1	1	0
group01060	0	0	1
group01063	1	0	1
group01066	1	1	1
group01067	1	1	0
group01070	1	0	0
group01071	1	0	1
group01072	1	0	1
group01073	1	0	0
group01074	1	0	0
group01075	1	1	1
group01080	0	1	1
group01082	1	1	1
group01083	1	0	1
group01085	0	0	1
group01088	0	1	0
group01091	1	1	0
group01092	1	1	1
group01093	1	1	0
group01095	1	1	0
group01096	1	1	1
group01097	1	1	1
group01098	1	1	0
group01101	1	0	0
group01102	1	0	0
group01106	1	1	1
group01107	1	1	1
group01108	1	0	1
group01109	1	1	1
group01110	1	0	0
group01111	1	1	0
group01114	0	1	0
group01118	1	1	1
group01119	1	1	1
group01120	1	0	0
group01121	1	1	1
group01122	1	0	0
group01123	0	1	0
group01124	1	1	1
group01125	1	0	0
group01126	1	1	1
group01129	1	0	0
group01130	1	1	0
group01132	1	1	0
group01137	1	1	0
group01139	1	1	1
group01142	0	0	1
group01143	1	0	0
group01144	1	1	0
group01147	1	1	1
group01149	0	1	0
group01159	1	1	1
group01161	1	1	0
group01162	1	0	1
group01163	1	0	0
group01164	1	0	0
group01166	1	0	0
group01168	1	1	0
group01169	1	0	0
group01174	0	1	0
group01176	1	1	1
group01181	0	1	0
group01183	1	0	1
group01184	0	1	0
group01185	1	0	0
group01186	1	1	1
group01188	1	1	0
group01189	0	1	1
group01196	1	1	1
group01199	0	1	1
group01201	0	1	0
group01205	1	1	1
group01208	0	1	1
group01209	1	0	0
group01210	1	0	0
group01211	0	1	0
group01212	0	1	0
group01215	0	0	1
group01217	1	1	0
group01218	1	0	0
group01221	1	1	1
group01222	0	1	1
group01223	1	0	1
group01226	0	1	1
group01230	0	1	0
group01231	1	1	1
group01235	0	1	1
group01238	1	1	1
group01241	0	1	0
group01244	0	1	0
group01246	1	1	1
