	log2_avg_rpkm
group00405	9.54869684596
group00406	0.0
group00407	8.87505723055
group00408	13.4641550871
group00409	11.4179187585
group00410	8.37888205771
group00412	10.2109556161
group00413	10.8362876812
group00414	9.6675326409
group00415	0.0
group00416	9.70107497139
group00417	7.88982940383
group00418	7.44302487786
group00419	9.48557442994
group00420	9.36414249999
group00421	0.0
group00422	8.86222111493
group00423	8.89071664699
group00425	7.84074601821
group00426	8.9313959218
group00427	9.72771579912
group00428	8.34711739532
group00429	7.50531004928
group00430	9.12067673247
group00431	7.3804663383
group00432	7.49975573183
group00433	9.65300177719
group00434	10.8444971818
group00436	12.7558313522
group00437	10.2386120048
group00439	0.0
group00441	8.59971564401
group00442	0.0
group00443	10.3788360479
group00444	6.93690781194
group00445	10.4032009247
group00446	0.0
group00447	10.5384429846
group00448	10.8711322741
group00449	10.4257831198
group00450	10.0214804233
group00451	11.2107488531
group00452	9.18137166856
group00453	7.67486022744
group00454	6.18675585084
group00455	10.1435110522
group00456	11.6545802077
group00457	6.25648793701
group00458	13.7222829446
group00459	9.37129712282
group00461	15.2500146257
group00464	9.50654471038
group00465	9.94106011087
group00466	9.17082105363
group00467	0.0
group00468	8.17518754475
group00470	7.34317272186
group00471	7.74731726069
group00472	7.14868302279
group00473	9.75181000427
group00474	9.84967214285
group00475	0.0
group00476	12.7425636012
group00477	7.19000099136
group00478	7.787526795
group00479	0.0
group00480	9.12576476535
group00481	0.0
group00482	8.92864539313
group00483	9.6027101766
group00484	11.004268411
group00485	8.76432285055
group00486	9.17380194418
group00487	8.75656627121
group00488	9.45529403878
group00491	7.07021359639
group00492	13.1328484426
group00493	0.0
group00495	13.9285682953
group00496	8.99538681127
group00498	8.24847158373
group00499	11.5012359378
group00500	0.0
group00503	7.55275849306
group00504	0.0
group00505	0.0
group00506	12.4313599678
group00507	13.9189537064
group00509	6.74040759084
group00510	0.0
group00511	0.0
group00512	8.19415637921
group00513	9.50531013727
group00514	7.09846176093
group00516	0.0
group00517	0.0
group00518	0.0
group00519	9.06170763402
group00521	0.0
group00522	14.5148304609
group00523	13.1156461429
group00524	7.98073871369
group00525	0.0
group00526	7.79429099523
group00528	8.2668665272
group00529	0.0
group00530	0.0
group00532	9.00609571233
group00533	0.0
group00534	7.04867279069
group00535	7.55553715883
group00536	7.59973257364
group00537	11.1486177771
group00538	0.0
group00539	9.16994850676
group00540	0.0
group00541	0.0
group00542	7.78624657064
